,0
纯电动汽车补贴政策w,4.166927453
混合动力补贴w,10.25812855
双积分平均车分,-1.435669092
企业平均油耗要求,-1.475147883
新能源汽车比例要求,-2.000352126
排放物限制,0.08460621
电动车占比,1.48796637
居民收入,3.782681602
消费支出,4.097436513
人均交通和通信消费支出,0.712063071
充电桩,2.775798066
最低续航里程,-6.386280774
电池能源密度,-0.636367185
原油依存度,8.977149264
汽车总销量,3.414301118
动力电池价格,8.798964041
疫情,-30.30468843
充电桩增长率,-11.64803555
传统汽车报废,0.261590529
发电量,0.80958063
人均发电量,0.710211126
发电量增量,-2.218188169
