,0
0,457.0
1,511.0
2,570.0
3,716.0
4,858.0
5,907.0
6,1384.0
7,1851.0
8,2475.578757
9,3513.683962896236
10,5232.0944539912125
11,8076.637183507624
12,12785.30451414572
13,20579.720045526323
14,33482.0784433098
15,54839.786606883594
16,90193.91985424013
17,148716.80667800558
